"White population","Black population","Grey population","Global temperature"
"614","0","213","18.189959064135362"
"618","0","216","18.687910429712737"
"622","0","211","18.749089706009382"
"622","0","208","18.680987705990233"
"635","0","201","18.695690868163382"
"622","0","211","18.25214441904659"
"622","0","204","18.44353981427679"
"633","0","202","18.61203089528766"
"624","0","204","18.270501327683366"
"628","0","200","18.433666176580545"
"637","0","197","18.411239862073554"
"637","0","198","18.068475453479078"
"635","0","199","17.86825936425122"
"637","0","198","17.82353057892411"
"645","0","194","17.730197782373434"
"643","0","191","17.418911780165246"
"642","0","190","17.366034290881306"
"637","0","194","17.38802108081505"
"644","0","193","17.56697391544095"
"643","0","191","17.403970212197372"
"648","0","187","17.37858309369939"
"653","0","184","17.206284080007933"
"644","0","191","16.936811481730064"
"638","0","194","17.094126132199037"
"642","0","189","17.411550862668847"
"653","0","181","17.46324023698175"
"652","0","182","17.136274255395474"
"645","0","186","16.9905060809075"
"636","0","190","17.151727098637693"
"635","0","200","17.549942510636363"
"635","0","197","17.707011740013975"
"628","0","202","17.808905579819662"
"627","0","204","18.084936338958457"
"627","0","201","18.26643818303857"
"629","0","203","18.372884497196416"
"619","0","205","18.329321806261408"
"630","0","205","18.69505589038472"
"630","0","205","18.48052212399317"
"628","0","210","18.365437662091352"
"624","0","208","18.33736403228999"
"629","0","208","18.47620437718324"
"626","0","207","18.370011496311882"
"630","0","205","18.44760933976563"
"631","0","207","18.349101524881704"
"630","0","206","18.247992349959265"
"625","0","206","18.237096794279683"
"622","0","211","18.428087527843896"
"631","0","207","18.607366834606918"
"620","0","209","18.389022591976996"
"621","0","209","18.680575240549704"
"620","0","209","18.80319040401483"
"625","0","208","18.89698086656737"
"627","0","204","18.753682954674062"
"628","0","206","18.627502321380575"
"621","0","204","18.53484110062839"
"631","0","198","18.80052018912622"
"639","0","190","18.599527091804852"
"645","0","186","18.25463245056472"
"651","0","185","17.871238976102244"
"644","0","185","17.47421153620028"
"650","0","185","17.543355290227126"
"642","0","188","17.351588978805424"
"642","0","189","17.530426014780407"
"648","0","186","17.635081580068476"
"648","0","186","17.48395204400367"
"645","0","186","17.405589185048502"
"645","0","187","17.465564382138698"
"648","0","189","17.49593196232923"
"645","0","192","17.391122876335835"
"645","0","190","17.41595546331867"
"641","0","192","17.45450628870286"
"638","0","194","17.607678441198676"
"640","0","193","17.780638485445163"
"647","0","192","17.78553552008372"
"640","0","192","17.539726670279997"
"629","0","198","17.687654411314394"
"626","0","202","18.158623197392313"
"624","0","202","18.494185948692017"
"631","0","199","18.729121910708745"
"637","0","195","18.57898166161"
"630","0","196","18.296217335186547"
"628","0","195","18.414837817972547"
"629","0","199","18.561044753521763"
"626","0","205","18.56904033939943"
"632","0","204","18.62742126516752"
"634","0","201","18.44317284319678"
"637","0","200","18.282420220372437"
"638","0","195","18.103537756695584"
"632","0","200","18.011570651163854"
"633","0","201","18.187872144937717"
"633","0","203","18.233843744762535"
"630","0","200","18.235961851054228"
"632","0","201","18.369659273602057"
"634","0","201","18.339564342700957"
"630","0","202","18.24529510097791"
"630","0","204","18.33286241568666"
"635","0","197","18.366322099516452"
"625","0","200","18.23456843964785"
"629","0","196","18.52957939462454"
"635","0","196","18.554621888769002"
"642","0","187","18.33996084306228"
"646","0","185","18.00601936186622"
"647","0","182","17.71050938422713"
"643","0","184","17.539809480112595"
"646","0","185","17.564685483201714"
"646","0","191","17.4643922850874"
"634","0","196","17.383570561946204"
"628","0","199","17.75817801003878"
"640","0","189","18.120909443409687"
"637","0","194","17.90878338340699"
"636","0","199","17.87254599668143"
"635","0","202","17.86815359150597"
"633","0","203","17.868035773347113"
"632","0","201","17.919807353531347"
"636","0","203","17.964955442931767"
"636","0","201","17.838964989771558"
"636","0","201","17.80923561646303"
"636","0","200","17.80337445368097"
"635","0","199","17.8297319841817"
"638","0","203","17.893950916791184"
"639","0","196","17.77563068876731"
"631","0","201","17.730827645027603"
"638","0","197","17.977119770443274"
"630","0","201","17.869978631798652"
"617","0","208","18.095996525899967"
"621","0","212","18.65451592002757"
"619","0","215","18.7905825799373"
"613","0","220","18.918053650533015"
"609","0","225","19.185913145448062"
"607","0","228","19.439704183716362"
"604","0","226","19.588978405914094"
"612","0","224","19.792573894946024"
"608","0","222","19.604365888646303"
"604","0","227","19.697708874280476"
"607","0","224","19.825021058305097"
"607","0","226","19.804530536067922"
"611","0","224","19.786240115309656"
"610","0","226","19.66733939630503"
"607","0","226","19.648889209361343"
"604","0","230","19.75716701607992"
"603","0","234","19.87085513119344"
"601","0","234","19.9411343032364"
"600","0","237","20.053770761674716"
"602","0","235","20.119942230569954"
"604","0","232","20.113190871874707"
"598","0","237","20.061381609650045"
"601","0","233","20.225884516842854"
"596","0","238","20.232661221605433"
"595","0","241","20.374075365069327"
"598","0","235","20.47110725810098"
"588","0","234","20.45432489847997"
"598","0","229","20.819017577765113"
"603","0","229","20.671258509757184"
"603","0","224","20.40721025121344"
"608","0","222","20.31278761699404"
"609","0","222","20.096909795706402"
"611","0","222","19.946712084198676"
"611","0","217","19.81450356211062"
"610","0","219","19.802088145740342"
"608","0","221","19.842993991227516"
"613","0","217","19.904730534193522"
"618","0","214","19.778067693466376"
"618","0","215","19.533454601141838"
"623","0","212","19.421218982524238"
"619","0","212","19.21846726111687"
"625","0","204","19.27307174411712"
"632","0","203","19.110934963565533"
"629","0","198","18.77560626187036"
"637","0","199","18.75189844165395"
"637","0","201","18.413536918000474"
"640","0","196","18.233485906331264"
"643","0","193","18.083464354979807"
"647","0","187","17.90973258056333"
"646","0","180","17.715910924076688"
"656","0","180","17.675692926147647"
"659","0","178","17.262142680269054"
"648","0","181","16.950320425703797"
"650","0","180","17.177450228840932"
"656","0","182","17.209840163135773"
"652","0","179","16.97768534033588"
"662","0","173","17.022821717110094"
"655","0","172","16.68700050912122"
