"White population","Black population","Grey population","Global temperature"
"4","93","739","18.52863625623709"
"3","94","739","18.493316345629296"
"3","96","739","18.53342753506129"
"3","99","739","18.581398743343694"
"3","100","738","18.63964697913425"
"3","102","736","18.687186899514764"
"3","103","735","18.748887657745176"
"4","105","730","18.802948096635124"
"4","105","732","18.847806184351093"
"4","103","734","18.857160855901967"
"4","103","734","18.82888129503507"
"4","105","732","18.818543860734188"
"4","105","732","18.851626915013647"
"4","106","731","18.8698501884932"
"4","104","733","18.89823222654507"
"4","105","732","18.87653578921548"
"4","101","735","18.883773209235258"
"4","102","735","18.8247490827986"
"4","102","735","18.806947978336808"
"4","100","737","18.798673596867612"
"4","99","738","18.757841878917898"
"3","98","739","18.721449302382958"
"3","97","741","18.721125783642755"
"3","101","734","18.9340410692091"
"4","107","728","19.36927899563746"
"3","108","726","19.89385258025594"
"4","110","726","20.460167414752597"
"5","104","731","20.961045528570146"
"5","99","737","21.314071297758442"
"5","99","737","21.62833734706822"
"5","97","739","22.019939770918054"
"5","95","741","22.41058978690523"
"4","94","742","22.79833549309564"
"4","94","742","23.244120970558374"
"5","93","743","23.692896786056707"
"5","92","744","24.087400246265027"
"5","91","744","24.490732980902933"
"5","91","745","24.90518899337272"
"5","90","746","25.325854770579745"
"5","90","745","25.73830429703384"
"5","88","747","26.171863107152706"
"5","89","747","26.57029123432222"
"5","90","745","26.99650709359"
"5","91","745","27.44914253359202"
"5","91","745","27.899837309733332"
"5","92","744","28.339039458121288"
"5","93","742","28.78984104350228"
"6","93","735","29.2541774118103"
"6","83","734","29.71294906246581"
"5","71","731","30.06437235475573"
"5","68","745","30.387350351194492"
"5","58","756","30.618673242444377"
"4","64","767","30.751474516594644"
"4","65","768","31.020125901863533"
"5","67","768","31.344986574406523"
"5","68","768","31.675807979793277"
"5","69","765","32.04662723772089"
"5","68","767","32.461992047829725"
"7","67","766","32.841358793002435"
"6","66","767","33.14708604350927"
"7","66","765","33.51364204309878"
"8","65","766","33.870602067439634"
"8","65","764","34.18552190347827"
"8","66","765","34.54858762081944"
"9","65","759","34.923709138845815"
"9","63","761","35.30296819466788"
"9","61","757","35.64712737204272"
"9","58","761","36.02164473471909"
"9","58","764","36.33685337818041"
"9","58","766","36.65904138707305"
"9","57","767","36.991045326554385"
"10","55","763","37.32509212914657"
"11","47","747","37.65055409698612"
"10","43","706","38.01231879609636"
"12","34","641","38.71836571445035"
"14","23","568","39.635043313664646"
"15","19","514","40.69645077574436"
"16","12","481","41.794907292332326"
"18","10","466","42.70876252038152"
"17","7","464","43.391910214582474"
"18","7","465","43.96314608892076"
"20","5","459","44.39400347189826"
"20","5","457","44.74832054780196"
"18","5","457","45.12495185507414"
"18","5","446","45.57653356649196"
"17","5","442","46.07570090106093"
"16","5","439","46.57606526077127"
"18","5","431","47.073141344060126"
"18","4","421","47.487704202469324"
"18","4","411","47.94568078306174"
"18","4","400","48.433173363175456"
"22","4","390","48.94310186543804"
"25","4","376","49.296776610617016"
"26","3","368","49.63777415608913"
"26","3","363","49.99335870856987"
"27","3","362","50.38455281592667"
"28","3","359","50.72181684917035"
"27","4","331","51.042944634458095"
"31","4","291","51.64502993155045"
"34","4","256","52.28361515063876"
"37","4","228","52.94197662905358"
"37","4","213","53.54384517102522"
"42","5","197","54.126144809225444"
"47","4","192","54.51707537922552"
"50","4","190","54.706498088935064"
"52","3","190","54.85558968334753"
"52","3","186","54.99396484918472"
"58","4","181","55.243106798667846"
"61","4","177","55.332771242794394"
"66","5","176","55.4411353680906"
"72","5","175","55.47383847942741"
"77","5","172","55.41568329760283"
"83","4","173","55.362891236193654"
"89","4","172","55.24520578167336"
"96","4","169","55.10367281406343"
"107","4","163","54.91953944028329"
"110","4","160","54.59818276821599"
"110","4","163","54.48531569587257"
"120","4","160","54.554148314504786"
"126","4","154","54.3657165414429"
"136","4","149","54.24027380886928"
"142","4","148","53.98335935296188"
"147","3","145","53.76614609316343"
"155","3","135","53.60668924029148"
"159","3","123","53.4165246544435"
"168","3","113","53.39547094650624"
"181","3","99","53.25623079723766"
"190","3","96","52.911669531307744"
"199","3","89","52.537165767724225"
"210","3","78","52.16621430133127"
"216","3","74","51.7552050659177"
"229","3","70","51.46505439326204"
"247","2","69","50.96804143865732"
"258","2","65","50.1382558335421"
"268","2","61","49.44343046073505"
"286","2","59","48.860884659233484"
"300","2","62","48.03001323406303"
"313","2","63","47.174101320380686"
"316","2","65","46.37389687066739"
"316","2","67","45.97035610390184"
"321","2","69","45.88379720393525"
"325","2","70","45.75912190555531"
"330","2","67","45.68955629853362"
"323","2","69","45.62013286843546"
"324","2","71","45.973089314395594"
"325","2","74","46.22512708563754"
"322","2","74","46.42325540217018"
"327","2","72","46.78263295351251"
"327","2","72","46.926457482851035"
"329","2","70","47.139987668556586"
"328","2","66","47.30681976904771"
"338","2","63","47.59205482427775"
"337","1","61","47.50219378618963"
"344","1","59","47.633446082920564"
"338","1","63","47.57508203767435"
"342","1","63","47.871720287528596"
"344","1","62","48.00751977058751"
"345","1","61","48.12921568652851"
"346","1","60","48.28991339573127"
"342","0","63","48.460669826001684"
"332","0","64","48.790528313519346"
"345","0","61","49.439629434748674"
"347","0","61","49.42928000512896"
"348","0","59","49.466501858881244"
"354","0","57","49.591751324850875"
"355","0","55","49.56460047056441"
"357","0","54","49.63240825842501"
"361","0","55","49.705446641708946"
"367","0","51","49.70338547518992"
"372","0","49","49.618626299032506"
"370","0","47","49.51181147600024"
"375","0","46","49.6613853042919"
"376","0","46","49.6860936359094"
"377","0","45","49.78365239666129"
"378","0","44","49.92456969113684"
"377","0","43","50.092034450730544"
"374","0","45","50.33440892673123"
"375","0","43","50.6790823511404"
"378","0","42","50.94582402766548"
"384","0","37","51.09631518521913"
"385","0","35","51.10122734754609"
"383","0","37","51.1986701812135"
"386","0","35","51.42926627998986"
"388","0","35","51.55669160123823"
"387","0","34","51.663999326068655"
"388","0","33","51.884570543254156"
"382","0","36","52.07699382695945"
"386","0","35","52.48375149101124"
"386","0","34","52.66201552203338"
"389","0","34","52.869918237353026"
"391","0","32","52.99495291609003"
"393","0","31","53.12071225851905"
"394","0","29","53.23807522257187"
"396","0","28","53.39582506588279"
"396","0","28","53.52852952461167"
"397","0","25","53.713085755069514"
"396","0","24","53.91313821960938"
"399","0","24","54.165997602748575"
"400","0","23","54.30050624945841"
"401","0","22","54.45285238442612"
"400","0","23","54.61205539772568"
"402","0","20","54.83679906485284"
"404","0","19","55.0089598913916"
"404","0","19","55.13735664458167"
"404","0","18","55.31881099976023"
"404","0","18","55.531987541990716"
"405","0","16","55.75203415105865"
"405","0","17","55.9525492581335"
"405","0","17","56.156873578824225"
"407","0","15","56.37170782619355"
"408","0","13","56.53403552898444"
"411","0","9","56.709677850351426"
"411","0","7","56.83348040809542"
"414","0","7","57.03118169741435"
"412","0","7","57.131745938694024"
"414","0","6","57.36142521276169"
"414","0","6","57.5254978636408"
"414","0","6","57.71968436385257"
"414","0","6","57.92728737122322"
"414","0","6","58.140830079577896"
"414","0","6","58.35687445370556"
"414","0","6","58.573807768481"
"413","0","6","58.79086250637201"
"414","0","6","58.93691111240417"
"413","0","7","58.97834025056498"
"411","0","6","59.03294477112023"
"412","0","5","59.15020430662498"
"411","0","5","59.18088520085839"
"409","0","3","59.236824470507955"
"412","0","3","59.36266784792461"
"412","0","3","59.30995221540931"
"413","0","3","59.28254494940173"
"410","0","2","59.22864981594239"
"411","0","2","59.32871839190013"
"410","0","2","59.342680380919845"
"409","0","3","59.3902358644541"
"409","0","2","59.447236742082794"
"408","0","2","59.48587820014504"
"408","0","2","59.53920634437698"
"407","0","2","59.56511452412977"
"405","0","2","59.61779562721789"
"406","0","2","59.72037819579369"
"406","0","2","59.74464542618178"
"405","0","2","59.76038382371845"
"405","0","2","59.80945011801702"
"405","0","2","59.83580588247884"
"405","0","2","59.849905302646405"
"404","0","2","59.857429760552556"
"403","0","2","59.901256420887776"
"402","0","1","59.96436044682348"
"403","0","1","60.045994986560714"
"403","0","1","60.04953955887112"
"402","0","1","60.05140135068806"
"400","0","1","60.092249201208006"
"400","0","1","60.19363385426985"
"399","0","1","60.24753054486416"
"398","0","1","60.31594152528994"
"397","0","1","60.39205166080884"
"397","0","1","60.47226435874116"
"397","0","1","60.51485304340162"
"397","0","0","60.53746419722957"
"397","0","0","60.55776085427052"
"397","0","0","60.56853926010009"
"397","0","0","60.57426306645443"
"396","0","0","60.57730266774199"
"394","0","0","60.61873452806398"
"391","0","0","60.713353593380475"
"391","0","0","60.86191974680966"
"392","0","0","60.945150231769965"
"392","0","0","60.9579418205869"
"392","0","0","60.9675600219923"
"392","0","0","60.97370234758143"
"391","0","0","60.97736776301408"
"391","0","0","61.01929644736922"
"390","0","0","61.041639697331775"
"388","0","0","61.09335658560177"
"386","0","0","61.20047349082823"
"386","0","0","61.33701232790037"
"383","0","0","61.40954398367289"
"385","0","0","61.55347215419159"
"385","0","0","61.55951763214758"
"385","0","0","61.5657730895005"
"382","0","0","61.57017984142635"
"382","0","0","61.69238442764936"
"381","0","0","61.75681015590295"
"381","0","0","61.830468613591066"
"380","0","0","61.86938328622362"
"378","0","0","61.929763941428725"
"377","0","0","62.03439550043081"
"377","0","0","62.1273568733567"
"376","0","0","62.175837764003056"
"375","0","0","62.24105563913302"
"373","0","0","62.31537379856038"
"372","0","0","62.42271654494186"
"371","0","0","62.527448311507186"
"370","0","0","62.625298380963955"
"369","0","0","62.71785878702924"
"368","0","0","62.807100213659766"
"367","0","0","62.89441312582653"
"364","0","0","62.980645822401634"
"364","0","0","63.145920713193284"
"364","0","0","63.233068088402575"
"363","0","0","63.27891361363607"
"363","0","0","63.34283633101626"
"361","0","0","63.376664521576096"
"360","0","0","63.4742042084272"
"360","0","0","63.56580583934969"
"359","0","0","63.61445194830655"
"358","0","0","63.68010413308965"
"359","0","0","63.74776845417061"
"357","0","0","63.748506363717084"
"356","0","0","63.82302921285486"
"355","0","0","63.900561488493565"
"354","0","0","63.98088103548801"
"354","0","0","64.06310192803592"
"352","0","0","64.10667368036806"
